model,accuracy,precision_weighted,recall_weighted,f1_weighted,best_cv_weighted_f1
XGBoost,0.852595854258401,0.8561097371432136,0.852595854258401,0.8529903872754593,0.8520021493089662
Random Forest,0.8520052126466057,0.8532390404529134,0.8520052126466057,0.8521068030823181,0.8493462853029128
CatBoost,0.850564547127888,0.8539429280710789,0.850564547127888,0.8507176200846113,0.8500144974470238
Decision Tree,0.8445768787247141,0.8480691674850939,0.8445768787247141,0.8451204648843466,0.843962413372303
